Alpha-3 code;Cancer code;Population code (ISO/UN);Country;Label;Sex;Number;MIR;Crude rate;Cumulative risk;indicator
MKD;30;807;807;North Macedonia;0;135;0.432432432;65;38;MIR
EGY;30;818;818;Egypt;0;7481;0.578947368;71;9;MIR
GBR;30;826;826;United Kingdom;0;6823;0.21641791;10;25;MIR
TZA;30;834;834;Tanzania, United Republic of;0;613;0.56097561;97;24;MIR
USA;30;840;840;United States of America;0;17705;0.180952381;53;17;MIR
BFA;30;854;854;Burkina Faso;0;580;0.608247423;26;74;MIR
URY;30;858;858;Uruguay;0;268;0.363636364;77;34;MIR
UZB;30;860;860;Uzbekistan;0;353;0.461538462;1;16;MIR
VEN;30;862;862;Venezuela;0;461;0.361111111;16;12;MIR
WSM;30;882;882;Samoa;0;4;0.510204082;2;42;MIR
YEM;30;887;887;Yemen;0;211;0.666666667;68;16;MIR
ZMB;30;894;894;Zambia;0;129;0.558823529;66;2;MIR
;;;;Total;;220489;0.321428571;28;17;MIR
AFG;31;4;4;Afghanistan;0;1009;0.947368421;25;37;MIR
ALB;31;8;8;Albania;0;244;7.285714286;85;58;MIR
DZA;31;12;12;Algeria;0;1575;0.777777778;35;38;MIR
AGO;31;24;24;Angola;0;863;0.864864865;25;33;MIR
AZE;31;31;31;Azerbaijan;0;544;0.8;53;49;MIR
ARG;31;32;32;Argentina;0;1514;0.702702703;33;28;MIR
AUS;31;36;36;Australia;0;1603;0.660714286;62;41;MIR
AUT;31;40;40;Austria;0;616;0.698113208;68;41;MIR
BHS;31;44;44;Bahamas;0;8;0.842105263;2;19;MIR
BHR;31;48;48;Bahrain;0;20;0.666666667;11;18;MIR
BGD;31;50;50;Bangladesh;0;1193;0.901234568;71;8;MIR
ARM;31;51;51;Armenia;0;207;0.691176471;7;53;MIR
BRB;31;52;52;Barbados;0;6;1;21;15;MIR
BEL;31;56;56;Belgium;0;667;6.6;57;35;MIR
BTN;31;64;64;Bhutan;0;14;1;18;22;MIR
BOL;31;68;68;Bolivia;0;230;0.086956522;19;25;MIR
BIH;31;70;70;Bosnia Herzegovina;0;350;0.818181818;108;63;MIR
BWA;31;72;72;Botswana;0;12;0.896551724;49;3;MIR
BRA;31;76;76;Brazil;0;10998;0.086956522;51;43;MIR
BLZ;31;84;84;Belize;0;3;1;73;12;MIR
SLB;31;90;90;Solomon Islands;0;2;1;28;3;MIR
BRN;31;96;96;Brunei Darussalam;0;4;8.272727273;9;7;MIR
BGR;31;100;100;Bulgaria;0;701;0.779411765;102;59;MIR
MMR;31;104;104;Myanmar;0;984;0.857142857;18;18;MIR
BDI;31;108;108;Burundi;0;86;0.923076923;68;13;MIR
BLR;31;112;112;Belarus;0;534;0.725490196;57;42;MIR
KHM;31;116;116;Cambodia;0;498;0.894736842;29;35;MIR
CMR;31;120;120;Cameroon;0;87;0.882352941;31;4;MIR
CAN;31;124;124;Canada;0;2765;0.690909091;72;4;MIR
CPV;31;132;132;Cape Verde;0;4;3.16;7;5;MIR
CAF;31;140;140;Central African Republic;0;25;0.986486486;5;8;MIR
LKA;31;144;144;Sri Lanka;0;425;0.833333333;2;15;MIR
TCD;31;148;148;Chad;0;62;0.88;36;8;MIR
CHL;31;152;152;Chile;0;556;0.677419355;29;22;MIR
CHN;31;156;160;China;0;56648;0.595238095;4;27;MIR
COL;31;170;170;Colombia;0;1636;0.787878788;32;27;MIR
COM;31;174;174;Comoros;0;0;Inf;0;0;MIR
COG;31;178;178;Congo, Republic of;0;8;0.517241379;14;1;MIR
COD;31;180;180;Congo, Democratic People Republic of;0;328;0.873015873;34;6;MIR
CRI;31;188;188;Costa Rica;0;188;0.756756757;36;29;MIR
HRV;31;191;191;Croatia;0;391;0.738461538;96;52;MIR
CUB;31;192;192;Cuba;0;689;0.673076923;61;38;MIR
CYP;31;196;196;Cyprus;0;115;0.768115942;94;6;MIR
CZE;31;203;203;Czechia;0;732;0.734693878;68;39;MIR
BEN;31;204;204;Benin;0;73;0.111111111;57;14;MIR
DNK;31;208;208;Denmark;0;543;0.807017544;93;51;MIR
DOM;31;214;214;Dominican Republic;0;315;0.794117647;29;28;MIR
ECU;31;218;218;Ecuador;0;537;0.75;3;28;MIR
SLV;31;222;222;El Salvador;0;240;0.820512821;37;31;MIR
GNQ;31;226;226;Equatorial Guinea;0;7;0.090909091;47;6;MIR
ETH;31;231;231;Ethiopia;0;803;8.909090909;66;1;MIR
ERI;31;232;232;Eritrea;0;31;1;85;12;MIR
EST;31;233;233;Estonia;0;106;0.693548387;8;48;MIR
FJI;31;242;242;Fiji;0;1;0.409090909;11;1;MIR
FIN;31;246;246;Finland;0;366;0.666666667;66;35;MIR
FRA;31;250;250;France (metropolitan);0;5049;0.65625;77;45;MIR
GUF;31;254;254;French Guyana;0;2;34.5;64;9;MIR
PYF;31;258;258;French Polynesia;0;8;1;28;27;MIR
DJI;31;262;262;Djibouti;0;6;1;59;6;MIR
GAB;31;266;266;Gabon;0;15;0.78125;64;8;MIR
GEO;31;268;268;Georgia;0;307;6.714285714;77;51;MIR
GMB;31;270;270;The Republic of the Gambia;0;6;1;23;5;MIR
PSE;31;275;275;Gaza Strip and West Bank;0;129;0.888888889;24;33;MIR
DEU;31;276;276;Germany;0;6570;0.764705882;78;43;MIR
GHA;31;288;288;Ghana;0;341;0.888888889;11;15;MIR
GRC;31;300;300;Greece;0;1036;0.692307692;10;48;MIR
