Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk,indicator
GIN,10,324,324,Guinea,0,31,0.41,0.22,0.04,incidence
GUY,10,328,328,Guyana,0,1,0.13,0.13,0.02,incidence
HTI,10,332,332,Haiti,0,68,0.7,0.58,0.06,incidence
HND,10,340,340,Honduras,0,45,0.58,0.44,0.08,incidence
HUN,10,348,348,Hungary,0,54,0.24,0.56,0.03,incidence
ISL,10,352,352,Iceland,0,3,0.52,0.87,0.08,incidence
IND,10,356,356,India,0,5175,0.36,0.37,0.04,incidence
IDN,10,360,360,Indonesia,0,790,0.28,0.28,0.03,incidence
IRN,10,364,364,"Iran, Islamic Republic of",0,240,0.26,0.28,0.03,incidence
IRQ,10,368,368,Iraq,0,41,0.16,0.1,0.02,incidence
IRL,10,372,372,Ireland,0,68,0.78,1.4,0.09,incidence
ISR,10,376,376,Israel,0,42,0.32,0.47,0.04,incidence
ITA,10,380,380,Italy,0,1531,1,2.5,0.12,incidence
CIV,10,384,384,Côte d'Ivoire,0,91,0.53,0.33,0.06,incidence
JAM,10,388,388,Jamaica,0,26,0.65,0.87,0.07,incidence
JPN,10,392,392,Japan,0,1091,0.29,0.87,0.03,incidence
KAZ,10,398,398,Kazakhstan,0,57,0.25,0.3,0.03,incidence
JOR,10,400,400,Jordan,0,21,0.27,0.2,0.03,incidence
KEN,10,404,404,Kenya,0,242,0.87,0.43,0.09,incidence
PRK,10,408,408,"Korea, Democratic People Republic of",0,38,0.09,0.15,0.01,incidence
KOR,10,410,410,"Korea, Republic of",0,377,0.34,0.73,0.04,incidence
KWT,10,414,414,Kuwait,0,10,0.16,0.23,0.02,incidence
KGZ,10,417,417,Kyrgyzstan,0,14,0.26,0.21,0.03,incidence
LAO,10,418,418,Lao People's Democratic Republic,0,11,0.19,0.15,0.02,incidence
LBN,10,422,422,Lebanon,0,16,0.21,0.24,0.03,incidence
